Canadian Cannabis Clinics,"2405 LAKE SHORE BLVD WEST, SUITE 302",Clinic,Etobicoke,Ontario,ca,"43.614368,-79.4885113",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,"240 Wharncliffe Rd N, Suite B101",Clinic,London,Ontario,ca,"42.9913738,-81.2650038",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Fat Panda,239 Manitoba Avenue,Retail Store,Winnipeg,Manitoba,ca,"49.9139255,-97.13325139999999",fatpanda.ca,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Canadian Cannabis Clinics,"23 STE. MARIE ST. , UNIT 1",Clinic,Collingwood,Ontario,ca,"44.5025097,-80.2155772",cannabisclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Greenleaf Medical Clinic,"2296 McCallum Road, Unit 101",Clinic,Abbotsford,British Columbia,ca,"49.043718,-122.2928776",greenleafmc.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,220 Pitt St,Clinic,Cornwall,Ontario,ca,"45.0188127,-74.7291554",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
BUDDHA BARN INC,2179 4th Ave W,Retail Store,Vancouver,British Columbia,ca,"49.2683907,-123.1545318",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Kingsway Cannabis,2140 Kingsway,Retail Store,Vancouver,British Columbia,ca,"49.2438605,-123.0628559",kingswaycannabis.com,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Pain Management Society,2137 Commercial Drive,Clinic,Vancouver,British Columbia,ca,"49.2656646,-123.0699436",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
MindShift,"206 Rookwood Ave, Suite 150",Clinic,Fredericton,New New Brunswick,ca,"45.9607703,-66.66034429999999",mindshift.works,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Medical Marijuana Services,206 Flora St,Clinic,Ottawa,Ontario,ca,"45.4087404,-75.69748919999999",medicalmarijuanaservices.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Lift Resource Centre,205 - 4851 Westwinds Dr NE,Clinic,Calgary,Alberta,ca,"51.1002598,-113.9632335",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Lift Resource Centre,2025 Midland Ave,Clinic,Scarborough,Ontario,ca,"43.7687116,-79.27086609999999",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Natural Living Wellness Centre,200 Spadina Ave,Clinic,Toronto,Ontario,ca,"43.650286,-79.3973505",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,"2 Champagne Drive, Unit B18",Clinic,North York,Ontario,ca,"43.7664487,-79.4720052",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Lift Resource Centre,196 King St East,Clinic,Bowmanville,Ontario,ca,"43.9110349,-78.6794506",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Bodystream,183 1st Ave W,Clinic,North Bay,Ontario,ca,"46.31316899999999,-79.4621014",bodystreammedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Trauma Healing Center,"1789 Mountain Rd, Suite 203",Clinic,Moncton,New New Brunswick,ca,"46.1216944,-64.84612659999999",traumahealingcenter.net,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
KushKlub,1735 Commercial Dr,Retail Store,Vancouver,British Columbia,ca,"49.269009,-123.0699287",kushklub.com,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Inspired Cannabis Co,1710 Robson Street,Retail Store,Vancouver,British Columbia,ca,"49.2905042,-123.1342898",inspiredcannabis.ca,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Dr Hart,1695 Wonderland Rd.,Clinic,North London,Ontario,ca,"43.017365,-81.3116603",dr-harts.com,By Referral,,,,,
Cannabis 204 Retail Store,163 Nelson Street West,Clinic,Virden,Manitoba,ca,"49.8503541,-100.930477",,By Referral,,,,,
Canadian Cannabis Clinics,"1615 Dundas St E, UNIT E210",Clinic,Whitby,Ontario,ca,"43.8847104,-78.9109087",cannabisclinics.ca,By Referral,,,,,
Canada House Clinics,"1610 37 St., SW, Unit # 57",Clinic,Calgary,Alberta,ca,"51.0395773,-114.1399622",canadahouseclinics.ca,By Referral,,,,,
Canadian Cannabis Clinics,"1600 LANSDOWNE STREET, UNIT 4-5",Clinic,Peterborough,Ontario,ca,"44.277291,-78.36577",cannabisclinics.ca,By Referral,,,,,
Canadian Cannabis Clinics,15353 97 Street N,Clinic,Edmonton,Alberta,ca,"53.615021,-113.4903841",cannabisclinics.ca,By Referral,,,,,
Canada House Clinics,"1405 Mountain Road, Unit A4",Clinic,Moncton,New New Brunswick,ca,"46.1126373,-64.8330984",canadahouseclinics.ca,By Referral,,,,,
Natures Decision,1401 Av de l'eglise,Clinic,Montreal,Quebec,ca,"45.463581,-73.58192629999999",,By Referral,,,,,
Cannabinoid Medical Clinic,"1385 Bank St., Suite 305",Clinic,Ottawa,Ontario,ca,"45.3843978,-75.67191729999999",,By Referral,,,,,
THE KURE CANNABIS SOCIETY,137F Dyke Rd,Clinic,Chilliwack,British Columbia,ca,"49.1716505,-121.9809983",,By Referral,,,,,
99 North Cannabis Store,130-1200 Hunter Place,Retail Store,Squamish,British Columbia,ca,"49.7033728,-123.1482484",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
ARCANNABIS STORE,1290 East 12th Avenue,Retail Store,Vancouver,British Columbia,ca,"49.2594815,-123.0778429",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Canadian Cannabis Clinics,121 DANFORTH AVENUE,Clinic,Toronto,Ontario,ca,"43.6762059,-79.3578105",cannabisclinics.ca,By Referral,,,,,
Medical Marijuana Clinics of Canada,121 Danforth Ave,Clinic,Toronto,Ontario,ca,"43.6762059,-79.3578105",,By Referral,,,,,
